TAB_MINORITY,FIPST,TABWGT,VARIANCE,ADJ_VAR,ROUND_RSE
Nonminority-Owned,New Hampshire,127178,1313977.172,2617527.935,1
Equally Minority-and Nonminority-Owned,New Jersey,9039,194292.7045,387043.6965,7
Minority-Owned,New Jersey,182522,2165673.012,4314161.409,1
Nonminority-Owned,New Jersey,564258,1444173.215,2876886.915,0
Equally Minority-and Nonminority-Owned,New Mexico,6379,49215.94465,98041.36079,5
Minority-Owned,New Mexico,49005,87912.34723,175127.11,1
Nonminority-Owned,New Mexico,96429,267100.8728,532082.3001,1
Equally Minority-and Nonminority-Owned,New York,20902,293425.221,584522.1128,4
Minority-Owned,New York,537589,4369198.644,8703727.697,1
Nonminority-Owned,New York,1333560,8482210.739,16897115.14,0
Equally Minority-and Nonminority-Owned,North Carolina,8122,257406.5813,512770.6414,9
Minority-Owned,North Carolina,131757,1052045.955,2095743.925,1
Nonminority-Owned,North Carolina,635162,2319448.422,4620492.021,0
Equally Minority-and Nonminority-Owned,Ohio,5709,118418.2158,235896.7831,9
Minority-Owned,Ohio,82418,646176.6411,1287225.871,1
Nonminority-Owned,Ohio,782712,4412768.822,8790522.323,0
Equally Minority-and Nonminority-Owned,Oklahoma,12143,105457.0998,210077.3976,4
Minority-Owned,Oklahoma,44973,666247.8253,1327208.974,3
Nonminority-Owned,Oklahoma,266330,1951587.256,3887688.668,1
Equally Minority-and Nonminority-Owned,Oregon,7171,64456.0452,128400.6317,5
Minority-Owned,Oregon,31682,330188.1045,657756.1663,3
Nonminority-Owned,Oregon,296704,1562195.595,3111995.168,1
Equally Minority-and Nonminority-Owned,Pennsylvania,5854,142950.4048,284766.4981,9
Minority-Owned,Pennsylvania,96224,502251.5873,1000517.808,1
Nonminority-Owned,Pennsylvania,850949,1824075.616,3633677.192,0
Equally Minority-and Nonminority-Owned,South Carolina,3191,40563.91977,80805.96483,9
Minority-Owned,South Carolina,57568,465594.1708,927493.8518,2
Nonminority-Owned,South Carolina,288167,534247.2973,1064255.342,0
Equally Minority-and Nonminority-Owned,Tennessee,3906,29928.97494,59620.46346,6
Minority-Owned,Tennessee,68225,477305.5349,950823.6504,1
Nonminority-Owned,Tennessee,459776,1028560.591,2048959.553,0
Equally Minority-and Nonminority-Owned,Texas,46866,142492.7218,283854.7638,1
Minority-Owned,Texas,723231,1135154.259,2261301.069,0
Nonminority-Owned,Texas,1343916,5636862.868,11228997.23,0
Equally Minority-and Nonminority-Owned,Utah,3705,40519.81454,80718.10435,8
Minority-Owned,Utah,16045,181372.0462,361304.9053,4
Nonminority-Owned,Utah,215826,398782.6705,794401.0006,0
Equally Minority-and Nonminority-Owned,Virginia,7746,145780.4736,290404.1791,7
Minority-Owned,Virginia,138321,644349.0628,1283585.216,1
Nonminority-Owned,Virginia,471340,2668464.809,5315755.349,0
Equally Minority-and Nonminority-Owned,Washington,13615,64877.75992,129240.7148,3
Minority-Owned,Washington,71501,546297.109,1088259.35,1
Nonminority-Owned,Washington,446683,436205.8358,868950.3782,0
Equally Minority-and Nonminority-Owned,West Virginia,479,8188.404085,16311.83318,27
Minority-Owned,West Virginia,4399,57849.41201,115239.7889,8
Nonminority-Owned,West Virginia,111054,576613.0195,1148650.615,1
Equally Minority-and Nonminority-Owned,Wisconsin,4327,96435.09793,192104.9834,10
Minority-Owned,Wisconsin,26043,51315.9081,102224.6245,1
Nonminority-Owned,Wisconsin,388446,1818047.513,3621668.818,0
Equally Minority-and Nonminority-Owned,Alaska and Wyoming,3344,35188.04397,70096.8708,8
Minority-Owned,Alaska and Wyoming,14376,156649.1838,312055.3564,4
Nonminority-Owned,Alaska and Wyoming,107113,1235567.749,2461331.268,1
Equally Minority-and Nonminority-Owned,Delaware and District of Columbia,1370,10736.24902,21387.30591,11
Minority-Owned,Delaware and District of Columbia,33773,111051.1043,221221.018,1
Nonminority-Owned,Delaware and District of Columbia,86063,268880.2634,535626.9619,1
Equally Minority-and Nonminority-Owned,North Dakota and South Dakota,1030,6869.594732,13684.67923,11
Minority-Owned,North Dakota and South Dakota,4624,25984.74173,51763.29454,5
Nonminority-Owned,North Dakota and South Dakota,126533,502088.2973,1000192.524,1
Equally Minority-and Nonminority-Owned,Rhode Island and Vermont,1476,10775.87891,21466.25122,10
Minority-Owned,Rhode Island and Vermont,11598,51572.71083,102736.1922,3
Nonminority-Owned,Rhode Island and Vermont,154933,696266.5675,1387008.26,1
